Peter Høeg
Rich Wilkes
Stanislaw Lem
Shane Salerno
James Seymour
Carsten Stroud
Mel Brooks
Harmony Korine
Kevin Williamson
Christian Gudegast
Dennis Feldman
Michael Cooney
Sebastian Gutierrez
Andy Hedden
Tori Tellem
Jarrad Paul
Ben Affleck
T.J. Mancini
Joshua Zetumer
Stirling Silliphant
Keith Parmer
Art D'Alessandro
Michelle Gallagher
Larry Ferguson
Michael H. Weber
Mitch Davis
Keith Merryman
Sean Hood
Chris Henchy
Upton Sinclair
Catherine Ryan Hyde
Dan Madigan
David Diamond
Hayden Herrera
Peter Filardi
John O'Brien
Andrew Currie
Sherman Edwards
Miles Chapman
Eduard Volodarskiy
Dean Georgaris
William Wheeler
Michael Hirst
Brad Anderson
Tom Clancy
Paul Brickhill
Christopher Cain
Roger Hawkins
Brian Bird
Robert Towne
Robert Moresco
William Makepeace Thackeray
Bob DeRosa
Jeff Eastin
Jim Harrison
Clive Barker
Jack Rose
Karl Gajdusek
Susan Orlean
Kevin DiCicco
Mark Wheaton
Wil Zmak
Abdul Williams
John Cameron Mitchell
Richard Marquand
David Aaron Cohen
Laura Lau
Lisa Azuelos
Michael Fallon
Woody Gelman
Brian Selznick
Michael Markowitz
Daniel Schechter
Ronald Shusett
Robert Pucci
Richard Piers Rayner
Neena Beber
Rex Pickett
Christopher Gambale
Álex de la Iglesia
Pat Bradley
John Bowe
Master P
Peter Lepeniotis
Heather Hach
Keir Pearson
Jeffrey Eugenides
Kristen Wiig
Dan Callahan
Bob Fisher
Brian Wayne Peterson
Justin Marks
Mike Malone
Jamie Hewlett
Heather Robinson
Andrew Adamson
Paula Goldberg
Stephan Blinn
Allan Steele
Mark Millar
Janet Scott Batchler
Terry Runte
Ernesto Foronda
Guljit Bindra
Maurice G. Dantec
Allen Hughes
Jon Kasdan
David Boehm
James Wong
Lord Byron
Stanford Sherman
Joe Ranft
Zachary Sklar
Ian Deitchman
Duke White
Matthew Robbins
Yaron Shani
John Curran
Jan Skrentny
Arthur Golden
Edward Burns
Brian Ward
Daniel Pyne
Eric Bress
P.J. Hogan
Shonda Rhimes
Don Rhymer
Chris D'Arienzo
Harry Grey
Frank Darabont
Matthew Huffman
Neil Simon
Bill Ewing
Roger H. Berger
Bob Kane
Cal Brunker
Barry W. Blaustein
Jennifer Crittenden
Marianna Palka
Sarah Thorp
Mark Gibson
Dennis McNicholas
Louis de Bernières
Rick Boyle
Miranda July
Josh Friedman
Peter Abrahams
Deborah Moggach
Salvador Carrasco
Becky Smith
George Hurdalek
Todd Robinson
Stephen M. Ryder
