Movie Name,Actor Name
12 Angry Men,John Fiedler
12 Angry Men,Lee J. Cobb
12 Angry Men,E.G. Marshall
12 Angry Men,Jack Klugman
Kingpin,Bill Murray
Kingpin,Woody Harrelson
Kingpin,Randy Quaid
Kingpin,Vanessa Angel
Kingpin,Chris Elliott
I Think I Love My Wife,Chris Rock
I Think I Love My Wife,Kerry Washington
I Think I Love My Wife,Gina Torres
I Think I Love My Wife,Steve Buscemi
I Think I Love My Wife,Edward Herrmann
Elmer Gantry,Burt Lancaster
Elmer Gantry,Hugh Marlowe
Elmer Gantry,John McIntire
Elmer Gantry,Shirley Jones
Elmer Gantry,Dean Jagger
Meet the Browns,Tyler Perry
Meet the Browns,Angela Bassett
Meet the Browns,Jenifer Lewis
Meet the Browns,Irma P. Hall
Around the World in 80 Days,Jackie Chan
Around the World in 80 Days,Ian McNeice
Around the World in 80 Days,Maggie Q
Around the World in 80 Days,Rob Schneider
Around the World in 80 Days,Ian McNiece
Kundun,Robert Lin
Kundun,Tsewang Migyur Khangsar
Kundun,Sonam Phuntsok
Kundun,Ken Leung
Killing Them Softly,Brad Pitt
Killing Them Softly,Richard Jenkins
Killing Them Softly,James Gandolfini
Killing Them Softly,Ray Liotta
Killing Them Softly,Scoot McNairy
La mala educación,Gael Garcia Bernal
La mala educación,Pedro Almodovar
La mala educación,Leonor Watling
Hesher,Joseph Gordon-Levitt
Hesher,Devin Brochu
Hesher,Rainn Wilson
Hesher,Piper Laurie
Hesher,Natalie Portman
This Is Martin Bonner,Paul Eenhoorn
This Is Martin Bonner,Richmond Arquette
This Is Martin Bonner,Sam Buchanan
This Is Martin Bonner,Robert Longstreet
This Is Martin Bonner,Demetrius Grosse
Carlos,Edgar Ramirez
Carlos,Alexander Scheer
Carlos,Nora von Waldstatten
Carlos,Christoph Bach
Carlos,Ahmad Kaabour
"Good Night, and Good Luck",David Strathairn
"Good Night, and Good Luck",Patricia Clarkson
"Good Night, and Good Luck",George Clooney
"Good Night, and Good Luck",Jeff Daniels
"Good Night, and Good Luck","Robert Downey, Jr."
Anatomie,Franka Potente
Kiss of the Dragon,Jet Li
Kiss of the Dragon,Bridget Fonda
Kiss of the Dragon,Tcheky Karyo
Kiss of the Dragon,Max Ryan
Kiss of the Dragon,Burt Kwouk
The Three Musketeers 3D,Logan Lerman
The Three Musketeers 3D,Milla Jovovich
The Three Musketeers 3D,Matthew MacFadyen
The Three Musketeers 3D,Ray Stevenson
The Three Musketeers 3D,Luke Evans
The Adventures of Rocky & Bullwinkle,Rene Russo
The Adventures of Rocky & Bullwinkle,Jason Alexander
