Movie Name,Release Date,Genre,Budget,Gross
Fireproof, 2008/9/26,Drama,500000.0,33456317.0
Firestarter, 1984/5/11,Horror,15000000.0,15136870.0
Firestorm, 1998/1/9,Action,19000000.0,8123860.0
The Firm, 1993/6/30,Thriller/Suspense,42000000.0,158340892.0
First Blood, 1982/10/22,Action,14000000.0,47212904.0
First Daughter, 2004/9/24,Romantic Comedy,30000000.0,9055010.0
The First Great Train Robbery, 1979/2/2,Action,6000000.0,391942.0
First Knight, 1995/7/7,Drama,75000000.0,37361412.0
"First Love, Last Rites", 1998/8/7,Drama,300000.0,10876.0
First Morning, 2005/7/15,Drama,300000.0,87264.0
The First Wives Club, 1996/9/20,Comedy,30000000.0,105489203.0
The Five-Year Engagement, 2012/4/27,Romantic Comedy,30000000.0,28700285.0
Fiza, 2000/9/8,Drama,1000000.0,623791.0
Flags of Our Fathers, 2006/10/20,Drama,53000000.0,33602376.0
Flammen og Citronen, 2009/7/31,Thriller/Suspense,9000000.0,148089.0
Flash Gordon, 1980/12/5,Action,35000000.0,27107960.0
Flash of Genius, 2008/10/3,Drama,20000000.0,4442377.0
Flashdance, 1983/4/15,Drama,7000000.0,90463574.0
